Date,Open,High,Low,Close,Adj Close,Volume
7/26/2019,2129.800049,2129.800049,2095,2109.050049,1907.290161,1720592
7/29/2019,2110.800049,2142,2103.300049,2130,1926.23584,1647090
7/30/2019,2130,2185,2120.449951,2179.149902,1970.683594,2851672
7/31/2019,2171.75,2211.699951,2147.149902,2205.699951,1994.694458,3000677
8/1/2019,2200,2217.5,2166.25,2180.050049,1971.498291,2375236
8/2/2019,2173,2210,2165.5,2205.300049,1994.332275,2500816
8/5/2019,2199.899902,2252.25,2195.600098,2248.600098,2033.489746,3039682
8/6/2019,2232.800049,2251.949951,2211.449951,2214.899902,2003.013916,2885467
8/7/2019,2230,2238.5,2207.25,2213.449951,2001.702637,2165362
8/8/2019,2228.899902,2281,2218.899902,2258.100098,2042.081909,2073298
8/9/2019,2260,2267.899902,2241.350098,2246.25,2031.364868,1744550
8/13/2019,2245,2246.25,2194.300049,2199.449951,1989.041748,1647281
8/14/2019,2181.100098,2217.850098,2167.399902,2204.399902,1993.518311,1945002
8/16/2019,2241.399902,2241.399902,2143.25,2165.100098,1957.978394,3755507
8/19/2019,2180,2186,2157.699951,2163,1956.078979,974884
8/20/2019,2172,2205,2166.5,2186.75,1977.556763,1843611
8/21/2019,2184.949951,2202,2182.25,2186.199951,1977.059326,1214408
8/22/2019,2187,2235.649902,2170,2216,2004.009521,2131601
8/23/2019,2214.949951,2259.899902,2213.899902,2247.699951,2032.676147,2826425
8/26/2019,2247,2282,2225,2276.300049,2058.541016,2345475
8/27/2019,2270,2274.850098,2229,2236.5,2022.547485,3432106
8/28/2019,2240,2252.149902,2216,2239.25,2025.034546,1294621
8/29/2019,2222.199951,2248.199951,2222.199951,2233.449951,2019.789429,1670652
8/30/2019,2241,2266,2218,2259.600098,2043.43811,2583625
9/3/2019,2270,2296.199951,2236.949951,2251.600098,2036.203491,2545060
9/4/2019,2265,2270,2233,2245.399902,2030.59668,2228092
9/5/2019,2242.199951,2253.649902,2207.300049,2215.300049,2003.376465,2055943
9/6/2019,2216,2233.5,2192.600098,2197.5,1987.278442,1890550
9/9/2019,2200,2202.850098,2179.800049,2182.850098,1974.029907,1703945
9/11/2019,2186,2195,2146.550049,2154,1947.939575,2627440
9/12/2019,2155,2165,2120.350098,2133.600098,1929.491699,2118859
9/13/2019,2135,2157.949951,2115.550049,2141.949951,1937.04248,2291174
9/16/2019,2159.949951,2173.399902,2126.399902,2150,1944.32312,2597948
9/17/2019,2154.949951,2156.550049,2105.600098,2122.649902,1919.588867,2796530
9/18/2019,2126.399902,2142.949951,2113.149902,2138.550049,1933.968506,1454663
9/19/2019,2135,2135.800049,2091,2101.949951,1900.869385,1652691
9/20/2019,2104.899902,2129.399902,2057,2065.449951,1867.860962,6941979
9/23/2019,2099,2099,1975,2015.800049,1822.960938,6323401
9/24/2019,2015,2061,2013,2044.699951,1849.095947,4620978
9/25/2019,2065,2092,2060.050049,2088.449951,1888.660889,4002232
9/26/2019,2097.899902,2107,2063,2087.600098,1887.892212,4234281
9/27/2019,2085,2085.199951,2051.399902,2056.149902,1859.450684,2046795
9/30/2019,2061.850098,2104,2060,2099.300049,1898.472656,2620039
10/1/2019,2095.949951,2095.949951,2039.699951,2059.949951,1862.887329,3342877
10/3/2019,2070,2081.149902,2046.150024,2060.25,1863.158569,2317618
10/4/2019,2060.600098,2087.949951,2054.949951,2079.350098,1880.431641,2163251
10/7/2019,2080,2094.5,2041,2047.699951,1851.809082,2177916
10/9/2019,2060,2060,2015.5,2020.099976,1826.849243,2066920
10/10/2019,2028,2039.050049,1997.099976,2004.449951,1812.696411,2881452
10/11/2019,1931,1995,1925,1986.849976,1796.780151,12593069
