Date,Open,High,Low,Close,Adj Close,Volume
21/06/19,2285,2292.5,2242,2249.850098,2029.879517,3871804
24/06/19,2254.149902,2280,2250.800049,2275.5,2053.021729,1382424
25/06/19,2270,2274.449951,2250.5,2267.800049,2046.07373,1386077
26/06/19,2265,2266.800049,2250,2254.199951,2033.804077,1762224
27/06/19,2255,2264,2241.300049,2252.550049,2032.315186,2813464
28/06/19,2260,2261.949951,2222.5,2227.199951,2009.44397,2372928
01/07/19,2235,2255,2206.600098,2239.550049,2020.58667,2769940
02/07/19,2244.899902,2257,2216.449951,2252.100098,2031.909668,1771746
03/07/19,2252.199951,2258.800049,2232,2237.649902,2018.872192,1656881
04/07/19,2234,2252,2230.100098,2242.649902,2023.383057,984140
05/07/19,2247,2250,2140,2163.100098,1951.611694,4088470
08/07/19,2149,2188.800049,2132.100098,2175.399902,1962.708252,2788062
09/07/19,2174,2174.399902,2104.550049,2133.350098,1924.77002,3977224
10/07/19,2080,2127.850098,2071.300049,2108.199951,1902.078613,6343581
11/07/19,2128,2129,2086.050049,2102.550049,1896.981201,2400346
12/07/19,2102.100098,2119.75,2093.100098,2107.600098,1901.537476,1560725
15/07/19,2125,2153.600098,2098,2145.699951,1935.912231,2900415
16/07/19,2126,2132.5,2100,2106,1904.531738,2735399
17/07/19,2108,2125,2092.100098,2117.25,1914.705688,1802969
18/07/19,2116.199951,2116.199951,2060,2065.949951,1868.312866,3072096
19/07/19,2077,2097,2062.5,2076.949951,1878.261108,1953177
22/07/19,2077,2117.449951,2068.800049,2109.899902,1908.05896,1920167
23/07/19,2127.899902,2130,2102.399902,2112.449951,1910.365479,3538588
24/07/19,2110,2120.800049,2076.5,2096.800049,1896.212158,2413196
25/07/19,2108.899902,2135,2092.550049,2127.899902,1924.336914,2544464
26/07/19,2129.800049,2129.800049,2095,2109.050049,1907.290283,1720592
29/07/19,2110.800049,2142,2103.300049,2130,1926.23584,1647090
30/07/19,2130,2185,2120.449951,2179.149902,1970.684204,2851672
31/07/19,2171.75,2211.699951,2147.149902,2205.699951,1994.69397,3000677
01/08/19,2200,2217.5,2166.25,2180.050049,1971.498047,2375236
02/08/19,2173,2210,2165.5,2205.300049,1994.33252,2500816
05/08/19,2199.899902,2252.25,2195.600098,2248.600098,2033.490112,3039682
06/08/19,2232.800049,2251.949951,2211.449951,2214.899902,2003.013916,2885467
07/08/19,2230,2238.5,2207.25,2213.449951,2001.702881,2165362
08/08/19,2228.899902,2281,2218.899902,2258.100098,2042.081543,2073298
09/08/19,2260,2267.899902,2241.350098,2246.25,2031.364868,1744550
13/08/19,2245,2246.25,2194.300049,2199.449951,1989.041748,1647281
14/08/19,2181.100098,2217.850098,2167.399902,2204.399902,1993.518799,1945002
16/08/19,2241.399902,2241.399902,2143.25,2165.100098,1957.978516,3755507
19/08/19,2180,2186,2157.699951,2163,1956.078979,974884
